---sec : 8  us : 984638--- ---./case0_1--- 
---sec : 9  us : 674657--- ---./case1_1--- 
---sec : 10  us : 52084--- ---./case2_1--- 
---sec : 9  us : 633737--- ---./case3_1--- 
---sec : 9  us : 516646--- ---./case4_1--- 
---sec : 9  us : 732375--- ---./case5_1--- 
---sec : 10  us : 37294--- ---./case6_1--- 
---sec : 10  us : 410287--- ---./case7_1--- 
---sec : 9  us : 944085--- ---./case8_1--- 
---sec : 4  us : 951995--- ---./case11_2--- 
---sec : 4  us : 811772--- ---./case12_2--- 
---sec : 5  us : 154391--- ---./case13_2--- 
---sec : 4  us : 924400--- ---./case14_2--- 
---sec : 5  us : 208930--- ---./case15_2--- 
---sec : 5  us : 484805--- ---./case16_2--- 
---sec : 5  us : 171250--- ---./case18_2--- 
---sec : 4  us : 969818--- ---./case19_2--- 
---sec : 2  us : 647448--- ---./case20_3--- 
---sec : 2  us : 582059--- ---./case21_3--- 
---sec : 2  us : 758343--- ---./case22_3--- 
---sec : 2  us : 595136--- ---./case24_3--- 
---sec : 2  us : 371074--- ---./case25_3--- 
---sec : 2  us : 465107--- ---./case26_3--- 
---sec : 2  us : 187437--- ---./case27_3--- 
---sec : 2  us : 174186--- ---./case28_3--- 
---sec : 1  us : 999948--- ---./case29_3--- 
---sec : 0  us : 688310--- ---./case30_4--- 
---sec : 0  us : 722226--- ---./case31_4--- 
---sec : 0  us : 619892--- ---./case32_4--- 
---sec : 0  us : 563443--- ---./case33_4--- 
---sec : 0  us : 506598--- ---./case36_4--- 
---sec : 0  us : 655338--- ---./case38_4--- 
---sec : 0  us : 302804--- ---./case40_5--- 
---sec : 0  us : 288500--- ---./case41_5--- 
---sec : 0  us : 300270--- ---./case43_5--- 
---sec : 0  us : 330356--- ---./case44_5--- 
---sec : 0  us : 333814--- ---./case45_5--- 
---sec : 0  us : 280985--- ---./case46_5--- 
---sec : 0  us : 283951--- ---./case48_5--- 
---sec : 0  us : 271776--- ---./case49_5--- 
---sec : 0  us : 139718--- ---./case51_6--- 
---sec : 0  us : 142536--- ---./case53_6--- 
---sec : 0  us : 141394--- ---./case54_6--- 
---sec : 0  us : 141952--- ---./case55_6--- 
---sec : 0  us : 142717--- ---./case56_6--- 
---sec : 0  us : 157102--- ---./case57_6--- 
---sec : 0  us : 147541--- ---./case58_6--- 
---sec : 0  us : 182823--- ---./case59_6--- 
---sec : 0  us : 91300--- ---./case60_7--- 
---sec : 0  us : 94190--- ---./case61_7--- 
---sec : 0  us : 67680--- ---./case62_7--- 
---sec : 0  us : 77505--- ---./case63_7--- 
---sec : 0  us : 67469--- ---./case65_7--- 
---sec : 0  us : 72956--- ---./case68_7--- 
---sec : 0  us : 66248--- ---./case69_7--- 
---sec : 0  us : 33452--- ---./case70_8--- 
---sec : 0  us : 33114--- ---./case71_8--- 
---sec : 0  us : 32980--- ---./case72_8--- 
---sec : 0  us : 33486--- ---./case73_8--- 
---sec : 0  us : 33278--- ---./case74_8--- 
---sec : 0  us : 33660--- ---./case75_8--- 
---sec : 0  us : 34332--- ---./case76_8--- 
---sec : 0  us : 33129--- ---./case77_8--- 
---sec : 0  us : 33417--- ---./case78_8--- 
---sec : 0  us : 33687--- ---./case79_8--- 
---sec : 0  us : 16920--- ---./case80_9--- 
---sec : 0  us : 29001--- ---./case81_9--- 
---sec : 0  us : 18269--- ---./case82_9--- 
---sec : 0  us : 28222--- ---./case83_9--- 
---sec : 0  us : 26065--- ---./case84_9--- 
---sec : 0  us : 16712--- ---./case85_9--- 
---sec : 0  us : 17045--- ---./case87_9--- 
---sec : 0  us : 17182--- ---./case88_9--- 
